"ville_id","ville_departement","ville_nom","ville_nom_simple","ville_nom_reel","ville_code_postal","ville_code_commune","ville_arrondissement","ville_longitude_deg","ville_latitude_deg"
"65","01","VIEU","vieu","Vieu","01260","01442","1","5.68333","45.9"
"66","01","SAINT-ANDRE-DE-CORCY","saint andre de corcy","Saint-André-de-Corcy","01390","01333","2","4.95","45.9167"
"67","01","BRESSOLLES","bressolles","Bressolles","01360","01062","2","5.1","45.8667"
"68","01","PERONNAS","peronnas","Péronnas","01960","01289","2","5.2","46.1833"
"69","01","COLOMIEU","colomieu","Colomieu","01300","01110","1","5.61667","45.7333"
"70","01","MONTHIEUX","monthieux","Monthieux","01390","01261","2","4.93333","45.95"
"71","01","SAINT-JEAN-SUR-REYSSOUZE","saint jean sur reyssouze","Saint-Jean-sur-Reyssouze","01560","01364","2","5.06667","46.4"
"72","01","GARNERANS","garnerans","Garnerans","01140","01167","2","4.83333","46.2"
"73","01","MONTREVEL-EN-BRESSE","montrevel en bresse","Montrevel-en-Bresse","01340","01266","2","5.13333","46.3333"
"74","01","CONAND","conand","Conand","01230","01111","1","5.46667","45.8833"
"75","01","CHALLES-LA-MONTAGNE","challes la montagne","Challes-la-Montagne","01450","01077","4","5.46667","46.1333"
"76","01","MOGNENEINS","mogneneins","Mogneneins","01140","01252","2","4.81667","46.1333"
"77","01","THOISSEY","thoissey","Thoissey","01140","01420","2","4.8","46.1667"
"78","01","CHALEINS","chaleins","Chaleins","01480","01075","2","4.8","46.0333"
"79","01","NEUVILLE-SUR-AIN","neuville sur ain","Neuville-sur-Ain","01160","01273","2","5.36667","46.0833"
"80","01","THIL","thil","Thil","01120","01418","2","5.01667","45.8167"
"81","01","JUJURIEUX","jujurieux","Jujurieux","01640","01199","4","5.41667","46.0333"
"82","01","ONCIEU","oncieu","Oncieu","01230","01279","1","5.46667","45.95"
"83","01","LURCY","lurcy","Lurcy","01090","01225","2","4.76667","46.0667"
"84","01","BALAN","balan","Balan","01360","01027","2","5.1","45.8333"
"85","01","AMBUTRIX","ambutrix","Ambutrix","01500","01008","1","5.33333","45.9333"
"86","01","SAINTE-CROIX","sainte croix","Sainte-Croix","01120","01342","2","5.05195","45.8942"
"87","01","BLYES","blyes","Blyes","01150","01047","1","5.25","45.85"
